
2022-10-11 17:06:21.823387,unravel,breast_cancer,IF_FUR,RBF,1,results/data/unravel/breast_cancer_IF_FUR_RBF_1.pickle
2022-10-12 05:12:35.225916,unravel,breast_cancer,IF_FUR,RBF,1,results/data/unravel/breast_cancer_IF_FUR_RBF_1.pickle
2022-10-12 06:37:01.466664,unravel,breast_cancer,IF_FUR,RBF,1,results/data/unravel/breast_cancer_IF_FUR_RBF_1.pickle
2022-10-12 07:26:20.259315,unravel,breast_cancer,FUR,RBF,1,results/data/unravel/breast_cancer_FUR_RBF_1.pickle
2022-10-13 05:46:59.784275,unravel,breast_cancer,UR,RBF,1,results/data/unravel/breast_cancer_UR_RBF_1.pickle
2022-10-13 05:50:03.166730,unravel,breast_cancer,UR,RBF,1,results/data/unravel/breast_cancer_UR_RBF_1.pickle
2022-10-20 07:53:04.878274,unravel,breast_cancer,FUR,RBF,1,results/data/unravel/breast_cancer_FUR_RBF_1.pickle
2022-12-04 15:00:05.772199,unravel,breast_cancer,FUR,RBF,1,results/data/unravel/breast_cancer_FUR_RBF_1.pickle
2022-12-05 10:59:18.282285,unravel,breast_cancer,FUR,RBF,1,results/data/unravel/breast_cancer_FUR_RBF_1.pickle
2022-12-05 12:29:07.213466,unravel,breast_cancer,FUR,RBF,50,results/data/unravel/breast_cancer_FUR_RBF_50.pickle
2022-12-06 16:54:13.651330,unravel,breast_cancer,IF_FUR,RBF,1,results/data/unravel/breast_cancer_IF_FUR_RBF_1.pickle
2022-12-07 10:55:20.824556,unravel,breast_cancer,FUR,RBF,1,results/data/unravel/breast_cancer_FUR_RBF_1.pickle
2022-12-07 10:57:17.421774,unravel,breast_cancer,FUR,RBF,1,results/data/unravel/breast_cancer_FUR_RBF_1.pickle
2022-12-07 11:53:56.564654,unravel,breast_cancer,FUR,RBF,50,results/data/unravel/breast_cancer_FUR_RBF_50.pickle
2022-12-09 11:16:04.853203,unravel,breast_cancer,IF_FUR,RBF,50,results/data/unravel/breast_cancer_IF_FUR_RBF_50.pickle
2022-12-13 12:21:04.745043,unravel,breast_cancer,FUR,RBF,50,results/data/unravel/breast_cancer_FUR_RBF_50.pickle
2022-12-15 06:23:38.254327,unravel,breast_cancer,IF_FUR,RBF,50,results/data/unravel/breast_cancer_IF_FUR_RBF_50.pickle
